,ORF Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,SGD ID,Gene Name,Gene Length,Verified ORF?,Chromosome,Start,End,Strand,Description
1,YAL012W,3917.778044,-1.973059524,0.242113737,-8.153992173,3.52E-16,2.22E-15,S000000010,CYS3,1185,Verified,chrI,130799,131983,1,Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress
2,YAL019W,634.9776844,-1.022505848,0.100887359,-10.13442389,3.89E-24,3.69E-23,S000000017,FUN30,3396,Verified,chrI,114919,118314,1,"Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"
3,YAL025C,293.6122409,-2.359343033,0.180191306,-13.05548704,5.91E-39,1.06E-37,S000000023,MAK16,921,Verified,chrI,100225,101145,-1,Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus
4,YAL035W,3464.683297,-1.642644144,0.136593936,-12.02547081,2.61E-33,3.79E-32,S000000033,FUN12,3009,Verified,chrI,76427,79435,1,Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
5,YAL036C,754.581941,-1.577420824,0.107317632,-14.69442077,7.00E-49,1.73E-47,S000000034,RBG1,1110,Verified,chrI,75043,76152,-1,"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"
6,YAL040C,1034.547437,-1.266065894,0.119434923,-10.60026066,2.97E-26,3.16E-25,S000000038,CLN3,1743,Verified,chrI,65778,67520,-1,"G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins, CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2, CCNB1, CCNC, CCND1, or CCNE1"
7,YAL053W,1593.448949,-1.283758017,0.090397799,-14.20164415,8.95E-46,2.00E-44,S000000049,FLC2,2352,Verified,chrI,45899,48250,1,"Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication"
8,YAL059W,150.4601338,-1.795458153,0.152265222,-11.75315392,6.80E-32,9.31E-31,S000000055,ECM1,639,Verified,chrI,36509,37147,1,Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm
9,YAR008W,90.48474987,-1.301975806,0.170097599,-7.63294047,2.29E-14,1.28E-13,S000000066,SEN34,828,Verified,chrI,158966,159793,1,"Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"
10,YAR071W,1198.650377,-2.193590655,0.203625065,-10.76298607,5.15E-27,5.72E-26,S000000094,PHO11,1404,Verified,chrI,225460,226863,1,"One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog, PHO12, that arose from a segmental duplication"
11,YBL004W,1392.562151,-2.047596913,0.120705114,-16.95988543,1.63E-64,6.36E-63,S000000100,UTP20,7482,Verified,chrII,227636,235117,1,Component of the small-subunit (SSU) processome; SSU processome is involved in the biogenesis of the 18S rRNA
12,YBL009W,335.8480991,-1.11877769,0.107545813,-10.39852845,2.52E-25,2.52E-24,S000000105,ALK2,2031,Verified,chrII,207194,209224,1,"Protein kinase; along with its paralog, ALK1, required for proper spindle positioning and nuclear segregation following mitotic arrest, proper organization of cell polarity factors in mitosis, proper localization of formins and polarity factors, and survival in cells that activate spindle assembly checkpoint; phosphorylated in response to DNA damage; ALK2 has a paralog, ALK1, that arose from the whole genome duplication; similar to mammalian haspins"
13,YBL015W,342.6142502,-1.116290945,0.127572264,-8.74854753,2.16E-18,1.55E-17,S000000111,ACH1,1581,Verified,chrII,194122,195702,1,Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth
14,YBL024W,967.2142965,-1.336127039,0.093224546,-14.33003314,1.42E-46,3.21E-45,S000000120,NCL1,2055,Verified,chrII,172534,174588,1,"S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase; methylates cytosine to m5C at several positions in tRNAs and intron-containing pre-tRNAs; increases proportion of tRNALeu(CAA) with m5C at wobble position in response to hydrogen peroxide, causing selective translation of mRNA from genes enriched in TTG codon; loss of NCL1 confers hypersensitivity to oxidative stress; similar to Nop2p and human proliferation associated nucleolar protein p120"
